HitRate@10,Precision@10,Recall@10,NDCG@10,MRR@10,MAP@10,Coverage@10,UsersWithRecs,UsersEvaluated,Personalization@10,w_Popular,w_SVD,w_TFIDF,w_ContextTFIDF
0.03937007874015748,0.003937007874015748,0.03937007874015748,0.019642745761326724,0.013746366381621652,0.013746366381621652,0.6662049861495845,3937,3937,0.9441694473645186,0.0,0.0,0.0,1.0
0.038862077724155446,0.003886207772415545,0.038862077724155446,0.019257898028140364,0.013403264108115518,0.013403264108115518,0.6558171745152355,3937,3937,0.9290372061784236,0.0,0.0,0.2,0.8
0.0381000762001524,0.00381000762001524,0.0381000762001524,0.01878476747519499,0.013018533973575884,0.013018533973575884,0.6516620498614959,3937,3937,0.9237482270127685,0.0,0.0,0.4,0.6000000000000001
0.0381000762001524,0.00381000762001524,0.0381000762001524,0.018424943126041354,0.012539763174764445,0.012539763174764445,0.6481994459833795,3937,3937,0.9211790598238603,0.0,0.0,0.6000000000000001,0.4
0.03759207518415037,0.003759207518415037,0.03759207518415037,0.01794131365218762,0.012074297164467344,0.012074297164467344,0.6357340720221607,3937,3937,0.9193136908775988,0.0,0.0,0.8,0.2
0.03352806705613411,0.0033528067056134113,0.03352806705613411,0.017417968602335507,0.012600441073898022,0.012600441073898022,0.6246537396121884,3937,3937,0.937377361383392,0.0,0.2,0.0,0.8
0.03225806451612903,0.0032258064516129037,0.03225806451612903,0.01702310502864856,0.012442799488773582,0.012442799488773582,0.6080332409972299,3937,3937,0.812501705562775,0.2,0.0,0.0,0.8
0.0332740665481331,0.00332740665481331,0.0332740665481331,0.017012592551110345,0.012148783821377167,0.012148783821377167,0.6094182825484764,3937,3937,0.9273342315763381,0.0,0.2,0.2,0.6000000000000001
0.032512065024130045,0.003251206502413005,0.032512065024130045,0.016779459239522565,0.01205323124931964,0.01205323124931964,0.600415512465374,3937,3937,0.8141093338951841,0.2,0.0,0.2,0.6000000000000001
0.034544069088138174,0.0034544069088138186,0.034544069088138174,0.016469893429910728,0.011016667271429782,0.011016667271429782,0.618421052631579,3937,3937,0.9136777950625894,0.0,0.0,1.0,0.0
0.031750063500127,0.0031750063500127,0.031750063500127,0.016426668641909243,0.011791671202390023,0.011791671202390023,0.5879501385041551,3937,3937,0.8151558727465835,0.2,0.0,0.4,0.4
0.030734061468122936,0.003073406146812294,0.030734061468122936,0.016091154506351558,0.01165005583979422,0.01165005583979422,0.5969529085872576,3937,3937,0.9215411723634113,0.0,0.2,0.4,0.4
0.02971805943611887,0.002971805943611887,0.02971805943611887,0.015796789658200625,0.011662251895932363,0.011662251895932363,0.5997229916897507,3937,3937,0.9158132586367881,0.0,0.4,0.0,0.6000000000000001
0.031242062484124967,0.003124206248412497,0.031242062484124967,0.0157841828760831,0.011122702404134967,0.011122702404134967,0.5574792243767313,3937,3937,0.7909924864611141,0.2,0.0,0.6000000000000001,0.2
0.02971805943611887,0.002971805943611887,0.02971805943611887,0.015643542016243423,0.011480218198531636,0.011480218198531636,0.5754847645429363,3937,3937,0.7451625405243602,0.4,0.0,0.0,0.6000000000000001
0.028194056388112777,0.002819405638811278,0.028194056388112777,0.015574561717536026,0.011767984647080404,0.011767984647080404,0.5768698060941828,3937,3937,0.8358444486211786,0.2,0.2,0.0,0.6000000000000001
0.030226060452120906,0.0030226060452120903,0.030226060452120906,0.015488563197874105,0.011016465683725017,0.011016465683725017,0.5782548476454293,3937,3937,0.915083491005769,0.0,0.2,0.6000000000000001,0.2
0.02743205486410973,0.002743205486410973,0.02743205486410973,0.014987986204258858,0.011212106551197228,0.011212106551197228,0.5512465373961218,3937,3937,0.8269622857390343,0.2,0.2,0.2,0.4
0.028194056388112777,0.002819405638811278,0.028194056388112777,0.014847565226683242,0.010851466147376738,0.010851466147376738,0.5657894736842105,3937,3937,0.9063403377366784,0.0,0.4,0.2,0.4
0.028702057404114807,0.002870205740411481,0.028702057404114807,0.014750835784804397,0.010601094218061453,0.010601094218061453,0.5512465373961218,3937,3937,0.7352535010104204,0.4,0.0,0.2,0.4
0.02997205994411989,0.002997205994411989,0.02997205994411989,0.014650520174621439,0.010048945494716386,0.010048945494716386,0.5547091412742382,3937,3937,0.7708115333180634,0.2,0.0,0.8,0.0
0.027178054356108712,0.002717805435610871,0.027178054356108712,0.014565738198128474,0.010731622256895307,0.010731622256895307,0.5166204986149584,3937,3937,0.8111342338418348,0.2,0.2,0.4,0.2
0.027686055372110743,0.002768605537211074,0.027686055372110743,0.014166277977871405,0.010133713124569106,0.010133713124569106,0.546398891966759,3937,3937,0.8956445548759775,0.0,0.4,0.4,0.2
0.027686055372110743,0.002768605537211074,0.027686055372110743,0.014155913253725597,0.010033927210711564,0.010033927210711564,0.5664819944598338,3937,3937,0.9075541349280964,0.0,0.2,0.8,0.0
0.028194056388112777,0.002819405638811278,0.028194056388112777,0.014051043428148863,0.009860662578468014,0.009860662578468014,0.525623268698061,3937,3937,0.7222828476631005,0.4,0.0,0.4,0.2
0.02489204978409957,0.002489204978409957,0.02489204978409957,0.013179496045904036,0.009600816027028879,0.009600816027028879,0.5076177285318559,3937,3937,0.8023966035660198,0.2,0.2,0.6000000000000001,0.0
0.02590805181610363,0.0025908051816103633,0.02590805181610363,0.012970349731440399,0.009098056291350678,0.009098056291350678,0.5304709141274239,3937,3937,0.8897577921581036,0.0,0.4,0.6000000000000001,0.0
0.026162052324104648,0.002616205232410465,0.026162052324104648,0.012749707293214561,0.008759691328906466,0.008759691328906466,0.5110803324099723,3937,3937,0.7061203613588756,0.4,0.0,0.6000000000000001,0.0
0.023876047752095505,0.0023876047752095504,0.023876047752095505,0.012607775397591768,0.009212558107655897,0.009212558107655897,0.5270083102493075,3937,3937,0.7515718653592792,0.4,0.2,0.0,0.4
0.024638049276098552,0.0024638049276098557,0.024638049276098552,0.012337998455064517,0.008613540242953502,0.008613540242953502,0.5207756232686981,3937,3937,0.8274272112200973,0.2,0.4,0.0,0.4
