Model,HitRate@10_mean,HitRate@10_std,Precision@10_mean,Precision@10_std,Recall@10_mean,Recall@10_std,NDCG@10_mean,NDCG@10_std,MRR@10_mean,MRR@10_std,MAP@10_mean,MAP@10_std,Coverage@10_mean,Coverage@10_std,Personalization@10_mean,Personalization@10_std
Item-based CF,0.016374808996742193,0.0019739234235166127,0.0016374808996742192,0.0001973923423516611,0.009639825714796232,0.0026604421220628198,0.0074313777386822814,0.0012707773661337397,0.004747837510006588,0.0010615189191952364,0.0030144940874169118,0.0013249057583291789,0.5639427516158818,0.011259232131354794,0.9718100200696477,0.008299421487392353
Popular,0.034817536171364134,0.003492606921123502,0.003531136333185797,0.00027274344739223804,0.02208844165496709,0.0035676049127465925,0.017158414165686836,0.0008965642880306201,0.011884586574460626,0.000645802846768995,0.0072378112432943216,0.000662254183002438,0.01662049861495845,0.0,0.0887593128314571,0.010397252426006654
User-based CF,0.011583219552477606,0.003951562955269568,0.0011583219552477608,0.00039515629552695693,0.007147676897952041,0.0015975944568122123,0.004603811176308964,0.0012886519375913364,0.0025128287640717516,0.000531541431899506,0.001589924951597736,0.00011040740344920176,0.10087719298245613,0.0069367401668128876,0.8871897678797858,0.008482639733902118
