Model,HitRate@10,Precision@10,Recall@10,NDCG@10,MRR@10,MAP@10,Coverage@10,Personalization@10,UsersWithRecs,UsersEvaluated
Context-aware Content TF-IDF (season),0.04064008128016256,0.004064008128016256,0.04064008128016256,0.020009858824976568,0.013873366635622159,0.013873366635622159,0.675207756232687,0.9540100982216172,3933,3937
Content TF-IDF (global),0.0365760731521463,0.003657607315214631,0.0365760731521463,0.01705727433175048,0.011219867677830595,0.011219867677830595,0.628808864265928,0.9168041881212309,3933,3937
Context-aware Content BoW (season),0.03352806705613411,0.003352806705613412,0.03352806705613411,0.016776082729733997,0.01172897742620882,0.01172897742620882,0.4951523545706371,0.8953608703364873,3933,3937
Content BoW (global),0.03225806451612903,0.0032258064516129032,0.03225806451612903,0.015187806359565636,0.010153670307340613,0.010153670307340613,0.4203601108033241,0.8227452710815412,3933,3937
Content BERT (global),0.024638049276098552,0.0024638049276098557,0.024638049276098552,0.01260218394470949,0.008953921082445339,0.008953921082445339,0.7825484764542936,0.9679026624037451,3933,3937
Context-aware Content BERT (season),0.022606045212090423,0.0022606045212090423,0.022606045212090423,0.011986611191456864,0.008775515963730338,0.008775515963730338,0.8192520775623269,0.9772878826448567,3933,3937
Item-based CF (global),0.014478028956057912,0.0014478028956057916,0.014478028956057912,0.006598599968964798,0.004243118803697925,0.004243118803697925,0.6502770083102493,0.9613796497657905,3937,3937
Context-aware Item-based CF (season),0.0055880111760223524,0.0005588011176022353,0.0055880111760223524,0.002605738059454011,0.0017313360023545445,0.0017313360023545445,0.16897506925207756,0.8319159186372995,3937,3937
