Metric,Global,Context-aware,Delta (Context - Global)
HitRate@10,0.0365760731521463,0.04064008128016256,0.004064008128016258
Precision@10,0.003657607315214631,0.004064008128016256,0.0004064008128016245
Recall@10,0.0365760731521463,0.04064008128016256,0.004064008128016258
NDCG@10,0.01705727433175048,0.020009858824976568,0.0029525844932260896
MRR@10,0.011219867677830595,0.013873366635622159,0.0026534989577915637
MAP@10,0.011219867677830595,0.013873366635622159,0.0026534989577915637
Coverage@10,0.628808864265928,0.675207756232687,0.04639889196675906
Personalization@10,0.9168041881212309,0.9540100982216172,0.03720591010038632
