HitRate@10,Precision@10,Recall@10,NDCG@10,MRR@10,MAP@10,Coverage@10,UsersWithRecs,UsersEvaluated,Personalization@10,w_Popular,w_SVD,w_ContextTFIDF
0.03835407670815342,0.0038354076708153415,0.03835407670815342,0.01934905531040685,0.013644766178421247,0.013644766178421247,0.6662049861495845,3937,3937,0.9434745950957135,0.0,0.0,1.0
0.03403606807213615,0.003403606807213615,0.03403606807213615,0.01789870355678611,0.013017425241199688,0.013017425241199688,0.6447368421052632,3937,3937,0.9454163494325614,0.0,0.1,0.9
0.03352806705613411,0.0033528067056134113,0.03352806705613411,0.01772014182855074,0.012928424269546953,0.012928424269546953,0.6308864265927978,3937,3937,0.8499009933030296,0.1,0.0,0.9
0.0332740665481331,0.00332740665481331,0.0332740665481331,0.01734454598960554,0.012575041023097918,0.012575041023097918,0.6253462603878116,3937,3937,0.9371864218920871,0.0,0.2,0.8
0.031750063500127,0.0031750063500127,0.031750063500127,0.01714781166568502,0.012688333313174564,0.012688333313174564,0.6198060941828255,3937,3937,0.891592774482219,0.1,0.1,0.8
0.03225806451612903,0.0032258064516129037,0.03225806451612903,0.01702310502864856,0.012442799488773582,0.012442799488773582,0.6080332409972299,3937,3937,0.812501705562775,0.2,0.0,0.8
0.031750063500127,0.0031750063500127,0.031750063500127,0.016692692160432746,0.01220190218158214,0.01220190218158214,0.6114958448753463,3937,3937,0.9274736756921871,0.0,0.30000000000000004,0.7000000000000001
0.031242062484124967,0.003124206248412497,0.031242062484124967,0.01647663238168762,0.012068551914881607,0.012068551914881607,0.5921052631578947,3937,3937,0.7788784065734313,0.30000000000000004,0.0,0.7000000000000001
0.03048006096012192,0.003048006096012192,0.03048006096012192,0.016468603084673784,0.012223976035253659,0.012223976035253659,0.5997229916897507,3937,3937,0.908085034471138,0.1,0.2,0.7000000000000001
0.03048006096012192,0.003048006096012192,0.03048006096012192,0.016459429052415292,0.012222161745910794,0.012222161745910794,0.6011080332409973,3937,3937,0.8097464037018067,0.2,0.1,0.7000000000000001
0.02997205994411989,0.002997205994411989,0.02997205994411989,0.0160914994543167,0.011937318319081082,0.011937318319081082,0.5872576177285319,3937,3937,0.9034243779077782,0.1,0.30000000000000004,0.6000000000000001
0.02997205994411989,0.002997205994411989,0.02997205994411989,0.016029196884991444,0.011866157859299845,0.011866157859299845,0.5858725761772853,3937,3937,0.7840472945325685,0.30000000000000004,0.1,0.6000000000000001
0.029464058928117855,0.002946405892811786,0.029464058928117855,0.015723367045470654,0.011636851845132263,0.011636851845132263,0.600415512465374,3937,3937,0.9152476867304356,0.0,0.4,0.6000000000000001
0.02971805943611887,0.002971805943611887,0.02971805943611887,0.015643542016243423,0.011480218198531636,0.011480218198531636,0.5754847645429363,3937,3937,0.7451625405243602,0.4,0.0,0.6000000000000001
0.028194056388112777,0.002819405638811278,0.028194056388112777,0.015574561717536026,0.011767984647080404,0.011767984647080404,0.5768698060941828,3937,3937,0.8358444486211786,0.2,0.2,0.6000000000000001
0.026162052324104648,0.002616205232410465,0.026162052324104648,0.014724843557137164,0.01126643443763078,0.01126643443763078,0.5547091412742382,3937,3937,0.785495480133977,0.30000000000000004,0.2,0.5
0.027178054356108712,0.002717805435610871,0.027178054356108712,0.014705065085227146,0.010972317976381986,0.010972317976381986,0.5685595567867036,3937,3937,0.8928351223405728,0.1,0.4,0.5
0.027178054356108712,0.002717805435610871,0.027178054356108712,0.014535788645858097,0.01076165882490495,0.01076165882490495,0.567174515235457,3937,3937,0.7387189180903607,0.4,0.1,0.5
0.0254000508001016,0.00254000508001016,0.0254000508001016,0.014439219450234317,0.01111403413283017,0.01111403413283017,0.5491689750692521,3937,3937,0.8360947515092958,0.2,0.30000000000000004,0.5
0.027686055372110743,0.002768605537211075,0.027686055372110743,0.01405529871099247,0.010004797787373352,0.010004797787373352,0.5879501385041551,3937,3937,0.9054444519896725,0.0,0.5,0.5
0.026416052832105665,0.0026416052832105665,0.026416052832105665,0.013769868501125793,0.010008930335320989,0.010008930335320989,0.5588642659279779,3937,3937,0.7051079482673631,0.5,0.0,0.5
0.02336804673609347,0.002336804673609347,0.02336804673609347,0.012723472237879875,0.009482383250480786,0.009482383250480786,0.5166204986149584,3937,3937,0.782221025540519,0.30000000000000004,0.30000000000000004,0.4
0.023876047752095505,0.0023876047752095504,0.023876047752095505,0.012607775397591768,0.009212558107655897,0.009212558107655897,0.5270083102493075,3937,3937,0.7515718653592792,0.4,0.2,0.4
0.024638049276098552,0.0024638049276098557,0.024638049276098552,0.012337998455064517,0.008613540242953502,0.008613540242953502,0.5207756232686981,3937,3937,0.8274272112200973,0.2,0.4,0.4
0.027686055372110743,0.0027686055372110746,0.027686055372110743,0.011756458590938131,0.007050026004813914,0.007050026004813914,0.5664819944598338,3937,3937,0.8962241918297559,0.0,0.6000000000000001,0.4
0.025654051308102617,0.002565405130810262,0.025654051308102617,0.011489937373354154,0.007231757320657497,0.007231757320657497,0.5450138504155124,3937,3937,0.8790721726100409,0.1,0.5,0.4
0.026162052324104648,0.002616205232410465,0.026162052324104648,0.010817170894857325,0.0063479968229777734,0.0063479968229777734,0.5450138504155124,3937,3937,0.8837171939981832,0.0,0.7000000000000001,0.30000000000000004
0.024638049276098552,0.0024638049276098552,0.024638049276098552,0.010372860816843157,0.006038559696167011,0.006038559696167011,0.5394736842105263,3937,3937,0.6878142035051148,0.5,0.1,0.4
0.023876047752095505,0.0023876047752095504,0.023876047752095505,0.010290280223827773,0.006275828424672722,0.006275828424672722,0.5145429362880887,3937,3937,0.865379863959773,0.1,0.6000000000000001,0.30000000000000004
0.02489204978409957,0.002489204978409957,0.02489204978409957,0.010279893786773695,0.005853502183194842,0.005853502183194842,0.5318559556786704,3937,3937,0.6563411435382437,0.6000000000000001,0.0,0.4
0.02286004572009144,0.002286004572009144,0.02286004572009144,0.010103745332130884,0.006306973725058561,0.006306973725058561,0.4840720221606648,3937,3937,0.8058057612386021,0.2,0.5,0.30000000000000004
0.02235204470408941,0.002235204470408941,0.02235204470408941,0.009983622810665836,0.0063265277324205445,0.0063265277324205445,0.4778393351800554,3937,3937,0.7609924182296915,0.30000000000000004,0.4,0.30000000000000004
0.023876047752095505,0.002387604775209551,0.023876047752095505,0.009923122452484546,0.005874568098342546,0.005874568098342546,0.5221606648199446,3937,3937,0.8700246275939458,0.0,0.8,0.2
