Metric,Global,Context-aware,Delta (Context - Global)
HitRate@10,0.014478028956057912,0.0055880111760223524,-0.00889001778003556
Precision@10,0.0014478028956057916,0.0005588011176022353,-0.0008890017780035563
Recall@10,0.014478028956057912,0.0055880111760223524,-0.00889001778003556
NDCG@10,0.006598599968964798,0.002605738059454011,-0.003992861909510787
MRR@10,0.004243118803697925,0.0017313360023545445,-0.0025117828013433803
MAP@10,0.004243118803697925,0.0017313360023545445,-0.0025117828013433803
Coverage@10,0.6502770083102493,0.16897506925207756,-0.4813019390581717
Personalization@10,0.9613796497657905,0.8319159186372995,-0.12946373112849097
