Metric,Global,Context-aware,Delta (Context - Global)
HitRate@10,0.03225806451612903,0.03352806705613411,0.0012700025400050816
Precision@10,0.0032258064516129032,0.003352806705613412,0.00012700025400050894
Recall@10,0.03225806451612903,0.03352806705613411,0.0012700025400050816
NDCG@10,0.015187806359565636,0.016776082729733997,0.0015882763701683608
MRR@10,0.010153670307340613,0.01172897742620882,0.0015753071188682067
MAP@10,0.010153670307340613,0.01172897742620882,0.0015753071188682067
Coverage@10,0.4203601108033241,0.4951523545706371,0.07479224376731303
Personalization@10,0.8227452710815412,0.8953608703364873,0.0726155992549461
