Metric,Global,Context-aware,Delta (Context - Global)
HitRate@10,0.024638049276098552,0.022606045212090423,-0.002032004064008129
Precision@10,0.0024638049276098557,0.0022606045212090423,-0.00020320040640081334
Recall@10,0.024638049276098552,0.022606045212090423,-0.002032004064008129
NDCG@10,0.01260218394470949,0.011986611191456864,-0.0006155727532526269
MRR@10,0.008953921082445339,0.008775515963730338,-0.0001784051187150009
MAP@10,0.008953921082445339,0.008775515963730338,-0.0001784051187150009
Coverage@10,0.7825484764542936,0.8192520775623269,0.03670360110803328
Personalization@10,0.9679026624037451,0.9772878826448567,0.009385220241111547
