Family,HitRate@10,Precision@10,Recall@10,NDCG@10,MRR@10,MAP@10,Coverage@10,Personalization@10
Collaborative filtering,0.010414020828041656,0.0010414020828041657,0.010414020828041656,0.004928871168188649,0.003280134338046454,0.003280134338046454,0.49076638965835634,0.9002542825718961
Content-based,0.031157395648124628,0.0031157395648124635,0.031157395648124628,0.014949088212008535,0.010109153022538848,0.010109153022538848,0.6105724838411819,0.9024840405355058
Non-personalized,0.010498687664041995,0.0010498687664041995,0.010498687664041995,0.004862427167676435,0.00318646325123338,0.00318646325123338,0.3430286241920591,0.35644365911815984
